Title,Container,CodecIssue,SourceURL,BunnyStreamFetchURL,SuggestedLocalName
"Episode 5 - The Original One","MKV","container only","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E05.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E05.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","Love U Lots (2026) VONE S01E05 1080p WEB-DL AAC2 0 x264-DarkRip.mp4"
"Episode 6 - Clingy Past","MKV","container only","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E06.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","https://deymflix-media.b-cdn.net/Love+U+Lots/Love.U.Lots.(2026).VONE.S01E06.1080p.WEB-DL.AAC2.0.x264-DarkRip.mkv","Love U Lots (2026) VONE S01E06 1080p WEB-DL AAC2 0 x264-DarkRip.mp4"
"Episode 1 - The Catch","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e01.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e01.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e01 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 2 - The Hateful Eight","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e02.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e02.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e02 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 3 - Flight Crew","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e03.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e03.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e03 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 4 - True Rowmance","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e04.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e04.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e04 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 5 - Anatomy of a Fall Formal","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e05.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e05.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e05 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 6 - Bad Break","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e06.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e06.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e06 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 7 - Under Pressure","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e07.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e07.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e07 720P Hevc X265-Megusta[Eztvx To].mp4"
"Episode 8 - O Coxswain, My Coxswain","MP4","codec","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e08.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","https://deymflix-media.b-cdn.net/English+Series/Crew+Girl/Crew.Girl.S01e08.720P.Hevc.X265-Megusta%5BEztvx.To%5D.mp4","Crew Girl S01e08 720P Hevc X265-Megusta[Eztvx To].mp4"
